file,slug,page_type,title,h1,primary_keyword,parent,hero_image,schema,word_count
"counties/garda-station-solicitor-leitrim.md","garda-station-solicitor-leitrim","county","Garda Station Solicitors Leitrim | 24 Hour Advice","Garda station solicitors in Leitrim","garda station solicitor leitrim","nationwide","garda-sign","LegalService","671"
"counties/garda-station-solicitor-limerick.md","garda-station-solicitor-limerick","county","Garda Station Solicitors Limerick | 24 Hour Advice","Garda station solicitors in Limerick","garda station solicitor limerick","nationwide","garda-sign","LegalService","700"
"counties/garda-station-solicitor-longford.md","garda-station-solicitor-longford","county","Garda Station Solicitors Longford | 24 Hour Advice","Garda station solicitors in Longford","garda station solicitor longford","nationwide","garda-sign","LegalService","689"
"counties/garda-station-solicitor-louth.md","garda-station-solicitor-louth","county","Garda Station Solicitors Louth | 24 Hour Legal Advice","Garda station solicitors in Louth","garda station solicitor louth","nationwide","garda-sign","LegalService","707"
"counties/garda-station-solicitor-mayo.md","garda-station-solicitor-mayo","county","Garda Station Solicitors Mayo | 24 Hour Legal Advice","Garda station solicitors in Mayo","garda station solicitor mayo","nationwide","garda-sign","LegalService","713"
"counties/garda-station-solicitor-meath.md","garda-station-solicitor-meath","county","Garda Station Solicitors Meath | 24 Hour Legal Advice","Garda station solicitors in Meath","garda station solicitor meath","nationwide","garda-sign","LegalService","679"
"counties/garda-station-solicitor-monaghan.md","garda-station-solicitor-monaghan","county","Garda Station Solicitors Monaghan | 24 Hour Advice","Garda station solicitors in Monaghan","garda station solicitor monaghan","nationwide","garda-sign","LegalService","705"
"counties/garda-station-solicitor-offaly.md","garda-station-solicitor-offaly","county","Garda Station Solicitors Offaly | 24 Hour Legal Advice","Garda station solicitors in Offaly","garda station solicitor offaly","nationwide","garda-sign","LegalService","681"
"counties/garda-station-solicitor-roscommon.md","garda-station-solicitor-roscommon","county","Garda Station Solicitors Roscommon | 24 Hour Advice","Garda station solicitors in Roscommon","garda station solicitor roscommon","nationwide","garda-sign","LegalService","680"
"counties/garda-station-solicitor-sligo.md","garda-station-solicitor-sligo","county","Garda Station Solicitors Sligo | 24 Hour Legal Advice","Garda station solicitors in Sligo","garda station solicitor sligo","nationwide","garda-sign","LegalService","690"
"counties/garda-station-solicitor-tipperary.md","garda-station-solicitor-tipperary","county","Garda Station Solicitors Tipperary | 24 Hour Advice","Garda station solicitors in Tipperary","garda station solicitor tipperary","nationwide","garda-sign","LegalService","672"
"counties/garda-station-solicitor-waterford.md","garda-station-solicitor-waterford","county","Garda Station Solicitors Waterford | 24 Hour Advice","Garda station solicitors in Waterford","garda station solicitor waterford","nationwide","garda-sign","LegalService","669"
"counties/garda-station-solicitor-westmeath.md","garda-station-solicitor-westmeath","county","Garda Station Solicitors Westmeath | 24 Hour Advice","Garda station solicitors in Westmeath","garda station solicitor westmeath","nationwide","garda-sign","LegalService","689"
"counties/garda-station-solicitor-wexford.md","garda-station-solicitor-wexford","county","Garda Station Solicitors Wexford | 24 Hour Advice","Garda station solicitors in Wexford","garda station solicitor wexford","nationwide","garda-sign","LegalService","699"
"counties/garda-station-solicitor-wicklow.md","garda-station-solicitor-wicklow","county","Garda Station Solicitors Wicklow | 24 Hour Legal Advice","Garda station solicitors in Wicklow","garda station solicitor wicklow","nationwide","garda-sign","LegalService","680"
"courts/central-criminal-court.md","central-criminal-court","court","Central Criminal Court | The Most Serious Charges","The Central Criminal Court","central criminal court","index","garda-station","LegalService","804"
"courts/childrens-court.md","childrens-court","court","Children's Court, Smithfield | Solicitor for Under 18s","The Children's Court at Smithfield","childrens court smithfield","index","garda-sign","LegalService","818"
"courts/circuit-criminal-court.md","circuit-criminal-court","court","Circuit Criminal Court | Sent Forward for Trial by Jury","The Circuit Criminal Court: trial by judge and jury","circuit criminal court","index","garda-station","LegalService","810"
"courts/criminal-courts-of-justice.md","criminal-courts-of-justice","court","Criminal Courts of Justice, Parkgate Street | Ferrys","The Criminal Courts of Justice, Parkgate Street","criminal courts of justice","index","garda-station","LegalService","803"
"courts/dublin-district-court.md","dublin-district-court","court","Dublin District Court | First Appearance, Bail, Remands","The District Court: where almost every criminal case begins","dublin district court","index","garda-sign","LegalService","805"
"courts/special-criminal-court.md","special-criminal-court","court","Special Criminal Court | Non-Jury Trial Explained","The Special Criminal Court","special criminal court","index","garda-station","LegalService","794"
"dublin/garda-station-solicitor-artane.md","garda-station-solicitor-artane","dublin-office","Garda Station Solicitor Artane | Dublin 5","Garda station solicitors in Artane, Dublin 5","garda station solicitor artane","garda-station-solicitor-dublin","garda-station","LegalService","657"
"dublin/garda-station-solicitor-ballyfermot.md","garda-station-solicitor-ballyfermot","dublin-office","Garda Station Solicitor Ballyfermot | Dublin 10","Garda station solicitors in Ballyfermot, Dublin 10","garda station solicitor ballyfermot","garda-station-solicitor-dublin","garda-sign","LegalService","663"
"dublin/garda-station-solicitor-ballymun.md","garda-station-solicitor-ballymun","dublin-office","Garda Station Solicitor Ballymun | Dublin 11","Garda station solicitors in Ballymun, Dublin 11","garda station solicitor ballymun","garda-station-solicitor-dublin","garda-station","LegalService","662"
"dublin/garda-station-solicitor-ormond-quay.md","garda-station-solicitor-ormond-quay","dublin-office","Garda Station Solicitor Ormond Quay | Dublin 7","Garda station solicitors at Ormond Quay, Dublin 7","garda station solicitor ormond quay","garda-station-solicitor-dublin","garda-station","LegalService","653"
"dublin/garda-station-solicitor-rialto.md","garda-station-solicitor-rialto","dublin-office","Garda Station Solicitor Rialto | Dublin 8","Garda station solicitors in Rialto, Dublin 8","garda station solicitor rialto","garda-station-solicitor-dublin","garda-station","LegalService","633"
"nationwide.md","nationwide","core","Garda Station Solicitors Nationwide | 24 Hour Advice","Garda station solicitors, nationwide","garda station solicitor ireland","index","garda-car","WebPage","614"
"offences/assault.md","assault","offence","Assault Charges | Solicitor Advice Before You Are Questioned","Assault","assault solicitor ireland","index","garda-members","LegalService","854"
"offences/drugs-offences.md","drugs-offences","offence","Drugs Offences Solicitors | Possession, Sale and Supply","Drugs offences","drugs offence solicitor ireland","index","garda-car","LegalService","887"
"offences/fraud-and-theft.md","fraud-and-theft","offence","Fraud and Theft Solicitors | Garda Station and Court","Fraud and theft","theft solicitor ireland","index","garda-station","LegalService","884"
"offences/murder-and-manslaughter.md","murder-and-manslaughter","offence","Murder and Manslaughter Solicitors | 24 Hour Advice","Murder and manslaughter","murder solicitor ireland","index","garda-station","LegalService","849"
"offences/public-order-offences.md","public-order-offences","offence","Public Order Offences | Solicitor Advice, Day or Night","Public order offences","public order offence solicitor ireland","index","garda-car","LegalService","873"
"offences/road-traffic-offences.md","road-traffic-offences","offence","Road Traffic Offences | Drink Driving and Licence Advice","Road traffic offences","drink driving solicitor ireland","index","garda-car","LegalService","922"
"offences/sexual-offences.md","sexual-offences","offence","Sexual Offence Allegations | Solicitor Advice, 24 Hours","Sexual offence allegations","sexual offence solicitor ireland","index","garda-sign","LegalService","902"
"offences/white-collar-crime.md","white-collar-crime","offence","White Collar Crime Solicitors | Corporate Investigations","White collar crime and corporate investigations","white collar crime solicitor ireland","index","garda-station","LegalService","867"
